Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100USB
Power Meter SN,P2000216
Sensor,S121C
Sensor SN,09072425
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto

Start of Measurement,5/18/2026 16:14:26
Elapsed Time,00:00:10:000
Samples,3738

--Statistics--
Minimum [W],0.14725
Maximum [W],0.1654
Mean [W],0.15807
Standard Deviation [W],0.0042216
Ratio,1.123 : 1

--Graph Data--
Time (ms),Power (W)
1151.578,0.16317
1154.247,0.16301
1156.917,0.16288
1159.553,0.16285
1162.196,0.16255
1164.912,0.16249
1167.618,0.16245
1170.267,0.16232
1172.919,0.16229
1175.599,0.16216
1178.198,0.16213
1180.873,0.16196
1183.647,0.16187
1186.586,0.1619
1189.260,0.1616
1191.917,0.16173
1194.598,0.16177
1197.242,0.16154
1199.877,0.16154
1202.637,0.16144
1205.244,0.16144
1207.916,0.16134
1210.561,0.16124
1213.245,0.16121
1215.922,0.16131
1218.611,0.16144
1221.222,0.16118
1223.913,0.16138
1226.594,0.16138
1229.232,0.16128
1231.910,0.16134
1235.241,0.16151
1237.904,0.16141
1240.555,0.16134
1243.197,0.16151
1245.846,0.16138
1248.546,0.16144
1251.249,0.16141
1253.895,0.16138
1256.521,0.16138
1259.196,0.16128
1261.873,0.16131
1264.524,0.16124
1267.227,0.16131
1269.905,0.16144
1272.569,0.16131
1275.242,0.16147
1277.918,0.16157
1280.571,0.1616
1283.199,0.16183
1285.879,0.16183
1288.572,0.1619
1291.241,0.16216
1293.895,0.162
1296.570,0.16196
1299.290,0.16209
1301.908,0.16216
1304.582,0.16222
1307.237,0.16219
1309.884,0.16219
1312.560,0.16232
1315.264,0.16226
1317.980,0.16229
1320.592,0.16239
1323.205,0.16258
1325.848,0.16242
1328.548,0.16249
1331.245,0.16262
1333.889,0.16278
1336.553,0.16288
1339.235,0.16301
1341.862,0.16288
1344.570,0.16294
1347.229,0.16291
1349.906,0.16281
1352.575,0.16275
1355.297,0.16272
1357.891,0.16268
1360.569,0.16249
1363.201,0.16275
1365.920,0.16268
1368.586,0.16275
1371.231,0.16278
1373.873,0.16301
1376.583,0.16307
1379.243,0.16307
1381.898,0.16311
1384.563,0.16304
1387.259,0.16294
1389.885,0.16317
1392.559,0.16311
1395.174,0.16317
1397.893,0.16304
1400.560,0.16291
1403.237,0.16298
1405.891,0.16298
1408.560,0.16298
1411.203,0.16307
1413.890,0.16294
1416.517,0.16304
1419.208,0.16294
1421.891,0.16317
1424.563,0.16321
1427.244,0.16327
1429.897,0.16321
1432.571,0.16317
1435.206,0.16327
1437.899,0.16343
1440.567,0.16347
1443.199,0.16324
1445.919,0.16317
1448.617,0.16314
1451.213,0.16294
1453.899,0.16321
1456.548,0.16307
1459.213,0.16311
1461.891,0.16307
1464.563,0.16311
1467.210,0.16307
1469.888,0.16314
1472.528,0.16301
1475.175,0.16321
1477.850,0.16327
1480.560,0.16324
1483.177,0.16324
1485.905,0.16321
1488.571,0.16307
1491.174,0.16298
1493.846,0.16317
1496.648,0.16291
1499.260,0.16272
1501.929,0.16272
1504.559,0.16275
1507.201,0.16245
1509.875,0.16242
1512.556,0.16245
1515.206,0.16232
1517.938,0.16242
1520.550,0.16242
1523.172,0.16236
1525.847,0.16236
1528.524,0.16236
1531.173,0.16216
1533.892,0.16219
1536.555,0.16196
1539.173,0.16187
1541.845,0.16177
1544.520,0.1617
1547.170,0.1617
1550.061,0.1616
1552.919,0.16164
1555.562,0.16141
1558.265,0.16157
1560.925,0.16144
1563.538,0.1616
1566.212,0.1617
1568.878,0.1616
1571.577,0.16147
1574.216,0.16154
1576.891,0.16147
1579.547,0.16141
1582.220,0.16124
1584.939,0.16138
1587.549,0.16108
1590.211,0.16102
1592.861,0.16118
1595.560,0.16095
1598.242,0.16082
1601.023,0.16102
1604.628,0.16085
1607.183,0.16075
1609.819,0.16082
1612.493,0.16069
1615.181,0.16069
1617.865,0.16072
1620.521,0.16075
1623.170,0.16059
1625.820,0.16049
1628.520,0.16049
1631.178,0.1603
1633.847,0.16023
1636.525,0.16026
1639.191,0.16013
1641.870,0.16007
1644.539,0.1599
1647.172,0.1599
1649.825,0.15997
1652.527,0.15977
1655.222,0.15981
1657.869,0.15977
1660.526,0.15997
1663.190,0.15981
1665.862,0.15981
1668.597,0.15961
1671.203,0.15958
1673.856,0.15958
1676.513,0.15948
1679.146,0.15945
1681.820,0.15945
1684.537,0.15951
1687.174,0.15912
1689.818,0.15919
1692.496,0.15925
1695.143,0.15905
1697.818,0.15905
1700.526,0.15909
1703.150,0.15905
1705.820,0.15896
1708.511,0.15896
1711.173,0.15879
1713.820,0.15883
1716.496,0.15905
1719.175,0.15879
1721.822,0.15896
1724.542,0.15886
1727.147,0.15892
1729.820,0.15892
1732.494,0.15883
1735.156,0.15889
1737.835,0.15876
1740.497,0.15879
1743.144,0.1586
1745.819,0.15866
1748.494,0.15879
1751.154,0.15873
1753.831,0.1586
1756.499,0.15863
1759.154,0.15866
1761.820,0.15889
1764.493,0.15889
1767.150,0.15886
1769.850,0.15886
1772.519,0.15909
1775.175,0.15902
1777.851,0.15902
1780.519,0.15905
1783.200,0.15915
1785.845,0.15886
1788.519,0.15879
1791.145,0.15876
1793.820,0.15869
1796.495,0.1586
1799.284,0.15869
1802.184,0.15856
1804.831,0.15886
1807.495,0.15896
1810.147,0.15896
1812.820,0.15909
1815.495,0.15905
1818.168,0.15899
1820.820,0.15902
1823.495,0.15883
1826.145,0.15873
1828.820,0.15869
1831.495,0.15869
1834.171,0.15863
1836.819,0.1586
1839.470,0.15853
1842.143,0.15843
1844.819,0.15847
1847.493,0.1584
1850.179,0.15824
1852.820,0.15817
1855.493,0.15814
1858.143,0.15801
1860.793,0.15807
1863.468,0.15817
1866.175,0.1582
1868.832,0.1582
1871.468,0.15811
1874.143,0.15794
1876.794,0.15781
1879.468,0.15778
1882.177,0.15762
1884.853,0.15749
1887.504,0.15735
1890.161,0.15706
1892.852,0.157
1895.518,0.15683
1898.181,0.15683
1900.855,0.15673
1903.471,0.1568
1906.146,0.1569
1908.820,0.15686
1911.475,0.15696
1914.190,0.157
1916.809,0.15673
1919.490,0.15657
1922.159,0.15634
1924.796,0.15615
1927.474,0.15608
1930.194,0.15588
1932.823,0.15562
1935.496,0.15569
1938.210,0.15559
1940.843,0.15536
1943.473,0.15539
1946.148,0.15533
1948.796,0.15549
1951.481,0.15552
1954.145,0.15539
1956.797,0.15556
1959.520,0.15552
1962.150,0.15546
1964.794,0.15539
1967.484,0.1552
1970.146,0.15497
1972.795,0.1549
1975.477,0.1549
1978.145,0.15487
1980.795,0.15464
1983.477,0.15458
1986.199,0.15458
1988.846,0.15464
1991.513,0.15458
1994.189,0.15454
1996.824,0.15448
1999.499,0.15461
2002.161,0.15474
2004.836,0.1549
2007.517,0.15481
2010.179,0.15494
2012.830,0.155
2015.502,0.15494
2018.199,0.15507
2020.839,0.155
2023.508,0.155
2026.210,0.15494
2028.846,0.15484
2031.517,0.15477
2034.148,0.1549
2036.808,0.15477
2039.475,0.15487
2042.120,0.15497
2044.796,0.155
2047.470,0.155
2050.158,0.15513
2052.806,0.15526
2055.478,0.15543
2058.120,0.15526
2060.795,0.15523
2063.470,0.15526
2066.120,0.15533
2068.807,0.15533
2071.492,0.15536
2074.127,0.15513
2076.799,0.1551
2079.480,0.15507
2082.120,0.15503
2084.849,0.15516
2087.506,0.1551
2090.163,0.1551
2092.804,0.15507
2095.509,0.15516
2098.189,0.15507
2100.859,0.155
2103.516,0.15503
2106.195,0.155
2108.865,0.15484
2111.517,0.15484
2114.146,0.15477
2116.831,0.15484
2119.470,0.15471
2122.118,0.15454
2124.793,0.15448
2127.471,0.15438
2130.118,0.15412
2132.805,0.15425
2135.527,0.15422
2138.123,0.15422
2140.796,0.15422
2143.470,0.15425
2146.120,0.15428
2148.810,0.15428
2151.480,0.15451
2154.120,0.15441
2156.795,0.15438
2159.470,0.15441
2162.122,0.15445
2164.851,0.15428
2167.486,0.15428
2170.121,0.15428
2172.795,0.15422
2175.470,0.15422
2178.131,0.15435
2180.795,0.15435
2183.482,0.15448
2186.863,0.15461
2189.508,0.15477
2192.158,0.15497
2194.820,0.15494
2197.478,0.15497
2200.149,0.15494
2202.832,0.1551
2205.516,0.15507
2208.148,0.15513
2210.835,0.15523
2213.461,0.15516
2216.124,0.15539
2218.786,0.15523
2221.447,0.15526
2224.123,0.15546
2226.797,0.15546
2229.448,0.15559
2232.219,0.15585
2234.849,0.15585
2237.476,0.15605
2240.123,0.15611
2242.796,0.15615
2245.445,0.15637
2248.120,0.1566
2250.867,0.15667
2253.443,0.15667
2256.127,0.1568
2258.778,0.15683
2261.447,0.157
2264.120,0.15703
2266.812,0.15713
2269.446,0.157
2272.125,0.15729
2274.772,0.15749
2277.446,0.15762
2280.120,0.15798
2282.770,0.15804
2285.457,0.15807
2288.139,0.1582
2290.777,0.1582
2293.446,0.15814
2296.096,0.15824
2298.770,0.15843
2301.455,0.15827
2304.141,0.15834
2306.809,0.1583
2309.484,0.15814
2312.163,0.1583
2314.814,0.15843
2317.508,0.15834
2320.153,0.15837
2322.807,0.15834
2325.486,0.15837
2328.145,0.1584
2330.805,0.15856
2333.578,0.1585
2336.162,0.15863
2338.818,0.15869
2341.499,0.15863
2344.145,0.15876
2346.822,0.1586
2349.467,0.15863
2352.122,0.15834
2354.768,0.1584
2357.455,0.1584
2360.093,0.1584
2362.770,0.15827
2365.465,0.1582
2368.122,0.15814
2370.810,0.15817
2373.458,0.15807
2376.159,0.15807
2378.812,0.15817
2381.456,0.15817
2384.144,0.15794
2386.775,0.15794
2389.538,0.15791
2392.489,0.15784
2395.144,0.15765
2397.819,0.15768
2400.501,0.15762
2403.142,0.15755
2405.820,0.15755
2408.493,0.15732
2411.146,0.15722
2413.797,0.157
2416.691,0.15703
2419.483,0.15706
2422.154,0.15683
2424.808,0.15677
2427.508,0.15664
2430.144,0.15647
2432.820,0.1565
2435.454,0.15654
2438.094,0.15644
2440.768,0.15634
2443.443,0.15644
2446.187,0.15621
2448.842,0.15628
2451.464,0.15608
2454.094,0.15608
2456.768,0.15588
2459.465,0.15592
2462.155,0.15588
2464.823,0.15575
2467.621,0.15588
2470.496,0.15582
2473.149,0.15575
2475.781,0.15582
2478.497,0.15598
2481.156,0.15601
2483.831,0.15608
2486.507,0.15605
2489.144,0.15592
2491.826,0.15605
2494.492,0.15611
2497.115,0.15615
2499.838,0.15618
2502.461,0.15608
2505.103,0.15605
2507.826,0.15598
2510.482,0.15592
2513.100,0.15601
2515.811,0.15605
2518.529,0.15628
2521.144,0.15631
2523.793,0.15644
2526.450,0.15686
2529.100,0.15749
2531.774,0.15771
2534.469,0.15817
2537.101,0.15843
2539.774,0.15886
2542.456,0.15915
2545.135,0.15948
2547.831,0.15964
2550.463,0.15994
2553.167,0.16007
2555.835,0.16026
2558.491,0.16056
2561.142,0.16072
2563.818,0.16095
2566.493,0.16108
2569.153,0.16115
2571.828,0.16134
2574.473,0.16147
2577.149,0.16141
2579.799,0.16151
2582.473,0.16164
2585.126,0.16154
2587.825,0.1617
2590.470,0.16141
2593.143,0.16147
2595.824,0.16121
2598.500,0.16115
2601.154,0.16098
2603.797,0.16102
2606.468,0.16092
2609.143,0.16082
2611.804,0.16085
2614.472,0.16059
2617.154,0.16075
2619.795,0.16088
2622.467,0.16059
2625.143,0.16079
2627.780,0.16088
2630.472,0.16085
2633.160,0.16053
2635.757,0.16056
2638.467,0.16039
2641.143,0.16049
2643.790,0.16049
2646.472,0.1603
2649.139,0.16049
2651.816,0.16036
2654.459,0.16013
2657.130,0.16026
2659.832,0.1602
2662.435,0.16017
2665.125,0.16023
2667.777,0.16013
2670.422,0.16007
2673.070,0.16023
2675.745,0.1603
2678.424,0.16017
2681.085,0.16023
2683.794,0.1602
2686.438,0.16013
2689.178,0.16023
2691.776,0.16026
2694.474,0.1602
2697.122,0.16
2699.843,0.16
2702.473,0.15997
2705.143,0.16017
2707.794,0.1601
2710.480,0.1602
2713.151,0.16013
2715.797,0.1602
2718.485,0.16007
2721.127,0.16013
2723.799,0.1602
2726.485,0.1601
2729.136,0.16017
2731.794,0.16023
2734.481,0.16007
2737.118,0.1599
2739.798,0.15994
2742.458,0.15997
2745.128,0.15984
2747.797,0.15987
2750.480,0.15974
2753.117,0.15964
2755.799,0.15981
2758.465,0.15958
2761.115,0.15951
2763.781,0.15977
2766.536,0.15961
2769.169,0.15958
2771.775,0.15954
2774.484,0.15958
2777.128,0.15938
2779.793,0.15945
2782.472,0.15935
2785.125,0.15941
2787.795,0.15919
2790.430,0.15915
2793.119,0.15905
2795.798,0.15909
2798.472,0.15902
2801.132,0.15889
2803.799,0.15883
2806.427,0.15912
2809.125,0.15905
2811.797,0.15902
2814.474,0.15902
2817.135,0.15905
2819.799,0.15915
2822.426,0.15902
2825.085,0.15905
2827.776,0.15928
2830.455,0.15915
2833.117,0.15922
2835.752,0.15915
2838.450,0.15912
2841.106,0.15902
2843.747,0.15902
2846.425,0.15912
2849.162,0.15922
2851.810,0.15932
2854.427,0.15941
2857.124,0.15958
2859.768,0.15968
2862.472,0.15971
2865.093,0.15987
2867.813,0.15964
2870.450,0.15981
2873.110,0.15951
2875.742,0.15961
2878.453,0.15958
2881.110,0.15958
2883.809,0.15948
2886.426,0.15961
2889.140,0.15954
2891.793,0.15961
2894.444,0.15951
2897.076,0.15961
2899.949,0.15958
2902.816,0.15971
2905.448,0.15977
2908.119,0.15964
2910.768,0.15954
2913.447,0.15958
2916.122,0.15954
2918.794,0.15948
2921.447,0.15948
2924.118,0.15954
2926.768,0.15938
2929.447,0.15932
2932.290,0.15928
2935.101,0.15925
2937.730,0.15912
2940.399,0.15909
2943.073,0.15922
2945.723,0.15919
2948.443,0.15915
2951.099,0.15905
2953.722,0.15909
2956.397,0.15899
2959.073,0.15899
2961.723,0.15925
2964.434,0.15899
2967.101,0.15902
2969.726,0.15896
2972.398,0.15892
2975.047,0.15892
2977.722,0.15899
2980.404,0.15886
2983.154,0.15892
2985.757,0.15909
2988.429,0.15902
2991.169,0.15905
2993.766,0.15922
2996.433,0.15912
2999.139,0.15912
3001.752,0.15945
3004.452,0.15954
3007.131,0.15948
3009.748,0.15954
3012.413,0.15961
3015.133,0.15984
3017.760,0.15994
3020.444,0.16003
3023.111,0.1602
3025.760,0.16026
3028.452,0.1603
3031.130,0.16023
3033.821,0.16049
3036.444,0.16043
3039.121,0.16046
3041.768,0.16069
3044.433,0.16088
3047.111,0.16085
3049.817,0.16088
3052.445,0.16115
3055.093,0.16115
3057.750,0.16128
3060.455,0.16144
3063.094,0.1616
3065.772,0.16147
3068.453,0.16157
3071.098,0.16183
3073.739,0.16167
3076.458,0.1618
3079.101,0.16206
3081.773,0.16206
3084.450,0.16209
3087.093,0.16213
3089.746,0.16206
3092.466,0.16229
3095.084,0.16236
3097.756,0.16242
3100.440,0.16252
3103.078,0.16258
3105.760,0.16281
3108.433,0.16294
3111.113,0.16301
3113.731,0.16298
3116.471,0.16307
3119.060,0.16321
3121.732,0.16307
3124.443,0.16304
3127.048,0.16304
3129.764,0.16301
3132.422,0.16298
3135.073,0.16314
3137.731,0.16304
3140.409,0.1633
3143.066,0.1635
3145.863,0.16353
3148.753,0.16373
3151.456,0.16389
3154.107,0.16432
3156.768,0.16451
3159.446,0.16451
3162.096,0.16428
